file,lines_of_code,functions,classes,methods,avg_complexity,max_complexity,maintainability_index
asyncio.py,77,1,1,6,2.57,4,76.26
auto.py,29,1,0,0,1.0,1,93.79
autonotebook.py,27,0,0,0,0.0,0,91.86
cli.py,275,3,0,0,20.33,34,39.84
dask.py,35,0,1,5,1.6,2,89.77
gui.py,130,1,1,4,4.2,10,58.64
keras.py,109,0,1,9,3.22,9,59.47
notebook.py,230,1,2,13,4.29,16,48.97
rich.py,124,1,3,9,1.9,4,66.94
std.py,1245,2,10,53,4.69,35,0.0
tk.py,159,1,1,9,3.4,8,61.4
utils.py,327,13,6,20,2.48,10,44.69
version.py,9,0,0,0,0.0,0,100.0
_main.py,7,0,0,0,0.0,0,100.0
_monitor.py,67,0,2,5,2.8,8,75.85
_tqdm.py,7,0,0,0,0.0,0,100.0
_tqdm_gui.py,7,0,0,0,0.0,0,100.0
_tqdm_notebook.py,7,0,0,0,0.0,0,100.0
_tqdm_pandas.py,20,1,0,0,3.0,3,98.1
_utils.py,9,0,0,0,0.0,0,100.0
__init__.py,31,2,0,0,1.0,1,100.0
__main__.py,2,0,0,0,0.0,0,100.0
bells.py,23,0,0,0,0.0,0,92.7
concurrent.py,89,4,0,0,2.75,5,73.13
discord.py,132,1,2,8,2.67,5,64.87
itertools.py,30,1,0,0,4.0,4,93.05
logging.py,103,4,1,2,2.83,7,75.62
slack.py,101,1,2,5,2.5,5,72.82
telegram.py,129,1,2,8,2.67,5,63.19
utils_worker.py,33,0,1,2,3.0,5,87.25
__init__.py,73,4,1,3,2.14,4,80.92
